url,tipo,descripcion,servicios,datos_contacto,sede
,"         Fútbol 5, 6 y 8","        Torneos de Fútbol 5 y 8 Masculino y Fútbol 5 y 6 Femenino, sábados, domingos y días de semana en nuestra 5 sedes, Inscripción abierta todo el año!!!","      Vestuarios,    Bar / Restaurante,    Torneos,    Ayuda Médica ,    Cumpleaños,    Colegios,    Gimnasio,    Escuelita de Fútbol,    Parrilla,    Estacionamiento,    Seguridad", Tel.: 011- 1551167600  Web: www.elsapofutbol.com,5 Sedes:  - Sede Vicente Lopez: Asturiano Fútbol Club - Vicente López - Sede Martínez: Club Banade - Sede Olivos: Villate fútbol Olivos - Sede Vicente Lopez: Yirigoyen Futbol - Sede Martínez: Fútbol Point 
,         Fútbol 5 y 6,"        Vení a jugar y sentite un jugador profesional. Los días Martes, Miércoles, Sábados y Domingos. Torneos de Futbol 5 y 6 Masculinos. Torneo de Futbol 5 Femeninos. Inscripción Abierta todo el año. Organización de primera, Pagina 100% Actualizada, Estadísticas Inmediatas, Fotos Todas las Fechas, Vestuarios completos damas y caballeros, Bar / Restaurant , Estacionamiento sin cargo, Servicio de Urgencias Medicas.     SEGUINOS EN FACEBOK E INSTAGRAM @torneos9dearea y @torneos9dearea.fem","      Vestuarios,    Bar / Restaurante,    Estacionamiento,    Escuelita de Fútbol,    Gimnasio,    Ayuda Médica ,    Cumpleaños,    Colegios,    ,    Torneos,    Parrilla,    Seguridad", Tel.: 011 1521714047 Web: www.torneos9dearea.com,3 Sedes:  - Sede Palermo: Estacion Fitz Roy - Sede Villa Crespo: Serrano Corner - Sede Villa Crespo: El Predio 
,"         Fútbol 5, 8 y 11","        Torneo de Fútbol 11 libres, Senior +35 y +45. Adicionalmente F5 y F8 masculino y femenino. Nos ubicamos en la mejor zona de Capital Federal. Excelentes canchas, profesionalismo y trato personalizado nos distinguen. No dudes en contactarte a nuestro mail o mediante nuestro: Facebook.com/eltrebolcampeonatos","      Vestuarios,    Bar / Restaurante,    Torneos,    Gimnasio,    Estacionamiento,    Ayuda Médica ,    Seguridad", Tel.: 011 - 1565309090 Web: www.eltrebolcampeonatos.com.ar,8 Sedes:  - Sede Benavidez: Delta FC - Sede Palermo: KDT - Sede Villa Maipú: Cirse - Sede Ezeiza: Ezeiza - Sede Flores: Bajo Flores Quemita - Sede Vicente Lopez: Banco - Sede Agronomía: Club Comunicaciones - Sede Flores: Bajo flores 
,"         Fútbol 5, 6, 7 y 8",        Contacto Maximiliano   Torneos abiertos y corporativos. Mas de 10 años de experiencia nos avalan.,"      Bar / Restaurante,    Vestuarios,    Torneos,    Escuelita de Fútbol,    Ayuda Médica ,    Cumpleaños,    Colegios,    Parrilla,    ,    Gimnasio,    Estacionamiento,    Seguridad,    WiFi,    TV", Tel.: 4701-8353/1561-7074-61 Web: www.torneosfutbol.com.ar,12 Sedes:  - Sede Nuñez: Fútbol Urbano - Sede Nuñez: Tiro Federal - Sede Nuñez: Obras Sanitarias - Sede Nuñez: El Porton de Nuñez - Sede Palermo: Palermo Fútbol - Sede Vicente Lopez: Club asturiano - Sede Saavedra: Club Platense - Sede Nuñez: Club Casa - Sede Belgrano: La Esquina Fútbol - Sede Nuñez: Muni Fútbol - Sede Olivos: Olivos - Sede Palermo: Fútbol Noble 
,         Fútbol 8,        Torneos de fútbol 8 en césped sintético con caucho.   - Fútbol 8 Libre (mayores de 18 años).   - Fútbol 8  +30 (Mayores de 30 años).  - Organización de torneos para empresas.  ,"      Vestuarios,    Bar / Restaurante,    Cumpleaños,    Gimnasio,    Torneos,    Escuelita de Fútbol,    Parrilla,    Estacionamiento,    Seguridad", Tel.: 15-6652-6820 / 1532792274 Web: www.edebafutbol.com.ar,3 Sedes:  - Sede Vicente Lopez: Yrigoyen Fútbol - Sede Martínez: Banade Fútbol - Sede Saavedra: Platense Fútbol 
,         Fútbol 5,        Contacto: Facundo  Ubicado a 200 metros del cruce de 197 y Boulogne Sur Mer (Pacheco).  ,"      Vestuarios,    Bar / Restaurante,    Torneos,    Escuelita de Fútbol,    Ayuda Médica ,    Cumpleaños", Tel.: 4740-9954 / 15-4062-9812 Web: www.clubpachecotorneos.com.ar ,1 Sedes:  - Sede Pacheco: Club Pacheco 
,"         Fútbol 5, 6 y 8",        Contacto: Esteban   15-6095-3290  ,"      Vestuarios,    Torneos,    Escuelita de Fútbol,    Ayuda Médica ,    Cumpleaños,    Colegios,    Bar / Restaurante,    Estacionamiento,    Parrilla", Tel.: 116095-3290 Web: www.facebook.com/torneosprosur/,3 Sedes:  - Sede Avellaneda: Complejo Don Bosco - Sede Floresta: Espíritu Potrero FC - Sede Wilde: Wilcoop 
,"         Fútbol 5, 6, 8 y 9",        Torneo Abiertos y Corporativos. Fútbol masculino y femenino.  Sebastian y Mariano 11 6544-0307,"      Vestuarios,    Bar / Restaurante,    Torneos,    Parrilla,    Estacionamiento,    Seguridad,    Ayuda Médica ,    Cumpleaños,    Colegios,    TV,    Escuelita de Fútbol", Tel.: 11 6544-0307 Web: www.fuialapelota.com.ar,7 Sedes:  - Sede Nuñez: Obras Sanitarias - Sede Palermo: Palermo Futbol - Sede Caballito: Caballito Norte - Sede Palermo: Fútbol Noble - Sede Agronomía: Fútbol Comu - Sede Tigre: Flow Fútbol - Sede Saavedra: Platense Fútbol 
,         Fútbol 5 y 9,        No dejes tu equipo afuera.  Arranca la semana A TODO FUTBOL.,"      Vestuarios,    Bar / Restaurante,    Torneos,    Escuelita de Fútbol,    Ayuda Médica ,    Cumpleaños,    Colegios"," Tel.: 52633800               Fútbol 5 y 9              No dejes tu equipo afuera.  Arranca la semana A TODO FUTBOL.           Vestuarios,    Bar / Restaurante,    Torneos,    Escuelita de Fútbol,    Ayuda Médica ,    Cumpleaños,    Colegios           ver todas   videos                                 ",1 Sedes:  - Sede Palermo: Salguero Fútbol 
,"         Fútbol 5, 6, 7, 8, 9, 10 y 11","        Sport Pro es una empresa de referencia relacionada al deporte. Hace 25 años realizamos torneos de fútbol amateur. Organizamos torneos internos para empresas. Eventos corporativos para organizaciones gubernamentales y del sector privado.  Tenemos la franquicia de nuestra marca y estamos realizando torneos en Uruguay, con esta modalidad.  Hemos conformado un proyecto que une el deporte amateur y profesional, como la escuela de árbitros, para la formación arbitral amateur y la posibilidad de hacer carrera en AFA.  ","      Vestuarios,    Bar / Restaurante,    Torneos,    Escuelita de Fútbol,    Ayuda Médica ,    Estacionamiento,    Cumpleaños,    Parrilla,    Seguridad,    Colegios,    WiFi,    TV,    Salón de Eventos", Tel.: 0810-444-FUTBOL (3882) 11 3863-9573 Web: www.sportpro.com.ar,12 Sedes:  - Sede Barracas: Fútbol Vieytes - Sede Palermo: Palermo Fútbol - Sede Puerto Madero: Unique Futbol - Sede Nuñez: Grün FC - Sede Saavedra: Club Platense - Sede Retiro: Fútbol Retiro - Sede Belgrano: Distrito Fútbol - Sede Agronomía: Fútbol Comu - Sede Palermo: Canchas Doble 5 KDT - Sede Caballito: El Predio - Sede Coghlan: Obras Fútbol - Sede Palermo: Geba 
